Solvent,CAS,dD,dP,dH,NFPA Health,NFPA Flame,GHS Hazards,Glove Type,SDS Link,Lab Scale Cost Est. ($/g),Bulk Cost Est. ($/lb),Melting Point (C),Boiling Point (C),Molecular Weight,Molar Volume,Density (g/L),Viscosity (cP),Refractive Index,Vapor Pressure (mmHg),Flash Point (C),Water Solubility (g/L),RER (HSP),Formula,CHO
(S)-(+)-2-Octanol,6169-06-8,16.08,4.21,8.96,3,2,"Acute oral toxicity (Category 3), Skin...",Unknown,SDS Source,5.47,1481.66,-,176,130.23,158.778,0.8202,-,1.426,-,60,1.12,-,C8H18O,True
"(S)-2,2-Dimethyl-1,3-Dioxolane-4-Methanol",22323-82-6,16.8,7.48,10.95,0,2,Flammable liquids (Category 4),Unknown,SDS Source,11.05,838.69,-,188.5,132.16,123.514,1.07,-,1.433,-,80,-,-,C6H12O3,True
(Z)-2-Penten-1-ol,1576-95-0,16.61,6.17,12.31,0,2,Flammable liquids (Category 3),Unknown,SDS Source,2.64,442.71,-,138,86.0694,100.902,0.853,-,1.437,-,48,-,12.7,C5H10O,True
(Z)-3-Hexen-1-Yl 2-Methyl Butyrate,53398-85-9,16.16,2.95,3.77,0,2,"Flammable liquids (Category 4), Acute ...",Unknown,SDS Source,0.84,124.29,-,212,184.28,209.409,0.88,-,1.437,0.06 mmHg at 25C,75,Not Soluble,2.4,C11H20O2,True
(Z)-3-Hexenyl lactate,61931-81-5,16.87,5.79,9.74,0,1,"Skin irritation (Category 2), Eye irri...",Nitrile,SDS Source,3.26,154.22,-,250.4,172.22,176.636,0.975,-,1.446,0.00345 mmHg at 25 C,113,-,0.7,C9H16O3,True
"1,1,2-Trimethoxyethane",24332-20-5,15.64,6.15,5.42,2,3,"Flammable liquids (Category 3), Skin i...",Unknown,SDS Source,4.8,-,-,126,120.15,128.916,0.932,-,1.392,4.07 kPa at 25 C,23,-,-,C5H12O3,True
"1,1,3,3-Tetramethoxypropane",102-52-3,15,7.1,6.8,1,2,Flammable liquids (Category 3),Butyl Rubber,SDS Source,0.21,28.17,-,183,164.2,164.694,0.997,1.75,1.407,1.7 hPa at 20 C,57,-,18.9,C7H16O4,True
"1,1-Dimethoxyacetone",6342-56-9,16.27,8.53,5.93,2,3,"Flammable liquids (Category 3), Skin i...",Nitrile,SDS Source,0.27,55.79,-57,141,118.13,121.035,0.976,0.85,1.3989,11.31 hPa at 20 C,26,-502,-,C5H10O3,True
"1,1-Dimethylcyclohexane",590-66-9,15.99,0.1,0.1,0,3,"Flammable liquids (Category 2), Skin C...",Unknown,SDS Source,69.1,-,-33.3,119.6,112.21,144.414,0.777,-,1.43635,56 hPa at 37.7 C,11,Not Soluble,172.7,C8H16,True
"1,2,4-Butanetriol",3068-00-6,17.89,11.39,25.06,2,1,"Skin irritation (Category 2), Eye irri...",Unknown,SDS Source,1.91,92.08,-20,190,106.12,89.1765,1.19,17.1,1.476,-,188,-502,0.1,C4H10O3,True
"1,2,6-Hexanetriol",106-69-4,17.32,9.25,20.64,0,2,Flammable liquids (Category 4),Nitrile,SDS Source,0.87,421.88,-30,323.1,134.17,120.983,1.109,-,1.476,0.01 hPa at 20 C,195,-502,0.1,C6H14O3,True
"1,2-Butanediol",584-03-2,16.87,8.99,19.7,0,1,None,Nitrile,SDS Source,0.15,57.15,-50,195,90.12,89.5825,1.006,7.3,1.4382,10 Pa at 20 C,93.4,-502,1.2,C4H10O2,True
"1,2-Diacetoxybut-3-Ene",18085-02-4,16.54,4.9,6.96,1,0,"Acute toxicity, Oral (Category 4)",Unknown,SDS Source,11,635.48,-,206.5,172.18,162.587,1.059,-,1.43,22 Pa at 25 C,91.11,-,-,C8H12O4,True
"1,3-Cyclohexadiene",592-57-4,17.1,3.5,4.9,0,3,"Flammable liquids (Category 2), Specif...",Unknown,SDS Source,8.24,-,-89,80,80.13,93.1744,0.86,-,1.474,-,-6,-,661.4,C6H8,True
"1,3-Propanedithiol",109-80-8,17.87,8.08,7.91,2,2,"Flammable liquids (Category 3), Acute ...",Nitrile,SDS Source,1.4,199.13,-79,172.9,108.22,101.14,1.07,-,1.5414,5 mmHg @ 38 C,58,-,27,C3H8S2,False
"1,4-Butandiol Monovinyl Ether",17832-28-9,16.3,6.54,10.41,2,2,"Flammable liquids (Category 4), Acute ...",Unknown,SDS Source,0.43,44.45,-32.99,189,116.16,123.706,0.939,5.9,1.4432,0.3 hPa at 20 C,85,75,3.7,C6H12O2,True
"1,4-Butanediol",110-63-4,16.6,11,20.9,1,1,"Acute toxicity, Oral (Category 4), Spe...",Nitrile,SDS Source,0.04,6.96,16,230,90.12,88.6136,1.017,83.2,1.446,0.019 hPa at 25 C,134,100,0.004,C4H10O2,True
"1,4-Butanedithiol",1191-08-8,17.73,6.89,6.98,2,1,None,Butyl Rubber,SDS Source,2.81,465.92,-53.9,195.5,122.25,117.548,1.04,-,1.529,0.563 mmHg at 25 C,113,-,10,C4H10S2,False
"1,4-Hexadiene",592-45-0,15.87,2.43,4.1,0,3,"Flammable liquids (Category 2), Skin i...",Unknown,SDS Source,-,-,-,64,82.14,115.69,0.71,-,1.415,172.6 mmHg at 25 C,-26,-,680,C6H10,True
"1,4-Pentanediol",626-95-9,16.88,8.37,17.83,0,0,None,Unknown,SDS Source,36.6,2629.02,-,220,104.15,105.629,0.986,-,1.447,-,113,-,0.5,C5H12O2,True
"1,5-Hexadiene-3,4-Diol",1069-23-4,16.79,7.13,17.15,2,2,"Flammable liquids (Category 4), Acute ...",Unknown,SDS Source,23.02,1049.61,14,201.9,114.14,111.902,1.02,-,1.4739,-,93,-,-,C6H10O2,True
"1,7-Heptanediol",629-30-1,16.71,7.79,15.88,0,1,None,Nitrile,SDS Source,8.24,499.4,22.5,262,132.2,139.012,0.951,-,1.455,-,110,-,0.2,C7H16O2,True
"1,8-Cineole",470-82-6,16.7,4.6,3.4,2,2,"Flammable liquids (Category 3), Skin i...",Nitrile,SDS Source,0.25,36.83,1.5,176.4,154.25,167.118,0.923,-,1.4574,-,49,Not Soluble,12.741,C10H18O,True
"1-(tert-Butoxy)-2,3-dimethoxypropane",172888-77-6,15.2,5,3.8,1,2,Flammable liquids (Category 4),Latex/Nitrile/Neopr,SDS Source,9.27,-,-40,180,176.26,196.281,0.898,-,-,0.06  kPa at 20 C,66,-,-,C9H20O3,True
1-(tert-Butoxy)-3-methoxy-2-propanol,13021-53-9,15.6,6.2,13.7,0,2,Flammable liquids (Category 4),Latex/Nitrile/Neopr,SDS Source,1.03,-,-80,195,162.229,170.767,0.95,7.889,-,0.036 kPa at 20 C,81,-,-,C8H18O3,True
1-Amino-4-Methylpiperazine,6928-85-4,17.93,5.56,9.89,2,2,"Flammable liquids (Category 4), Skin i...",Fluorinated Rubber,SDS Source,1.63,112.49,-,172,115.18,121.242,0.95,-,1.485,-,62,-502,-,C5H13N3,False
"1-Butanol , 4-Methoxy-",111-32-0,16.22,7.13,11.61,1,2,Flammable liquids (Category 4),Unknown,SDS Source,17.44,1475.08,-,165.7,104.15,111.989,0.93,-,1.419,0.618 mmHg at 25 C,73,-,6,C5H12O2,True
1-Cyclohexylethan-1-One,823-76-7,17.04,5.1,3.81,2,2,"Flammable liquids (Category 4), Skin i...",Unknown,SDS Source,3.56,401.88,-34,181,126.2,137.623,0.917,-,1.4514,-,66,-,-,C8H14O,True
1-Ethylpiperazine,5308-25-8,17.23,5.48,7.27,0,2,"Flammable liquids (Category 3), Skin i...",Nitrile/ Fluorinate,SDS Source,0.45,29.03,-60,157,114.19,127.019,0.899,-,1.469,3 mbar at 20 C,43,-502,-,C6H14N2,False
1-Ethynylcyclohexanol,78-27-3,17.86,5.67,9.15,2,0,"Acute toxicity, Oral (Category 4), Acu...",Nitrile,SDS Source,0.31,72.4,31.5,174,124.18,128.418,0.967,-,1.4812,1 hPa at 50 C,73,10,-,C8H12O,True
1-Furfuryl Pyrrole,1438-94-4,18.85,6,5.84,2,2,"Flammable liquids (Category 4), Acute ...",Unknown,SDS Source,14.49,515.28,-,256.7,147.17,136.142,1.081,-,1.531,0.0244 mmHg at 25 C,93,-,0.5,C9H9NO,False
1-Heptadecene,6765-39-5,15.9,1.32,1.65,0,1,None,Unknown,SDS Source,41.89,-,11.5,300,238.45,303.758,0.785,-,1.4434,0.000454 mmHg at 25 C.,113,Not Soluble,0.2,C17H34,True
1-Heptanal,111-71-7,16.01,6.5,4.82,2,3,"Flammable liquids (Category 3), Skin i...",Butyl Rubber,SDS Source,0.18,33.57,-43.3,152.8,114.19,139.767,0.817,0.977,1.4217,6.6 hPa at 20 C,35,Not Soluble,36.1,C7H14O,True
1-Heptanol,111-70-6,16,5.3,11.7,2,2,"Flammable liquids (Category 4), Eye ir...",Latex/ Chloroprene/,SDS Source,0.08,18.57,-34,176.4,116.2,141.363,0.822,5.944,1.4249,0.5 mmHg at 20 C,76,1.63,2.01,C7H16O,True
1-Hexanol,111-27-3,15.9,5.8,12.5,2,2,"Flammable liquids (Category 3),  Acute...",Nitrile,SDS Source,0.05,15.02,-44.6,157.6,102.17,125.516,0.814,3.64,1.4183,0.75 at 20 C,60,1.3,4.871,C6H14O,True
"1-Hexyn-3-ol, 3,5-Dimethyl-",107-54-0,16.18,3.89,7.85,0,2,"Flammable liquids (Category 3), Acute ...",Nitrile/ Butyl Rubb,SDS Source,0.25,56.7,-,150,126.2,146.915,0.859,-,1.434,6.0 hPa at 20 C,44,-,15.5,C8H14O,True
1-Methyl-4-Piperidinol,106-52-5,17.49,6.11,12.1,2,1,"Skin irritation (Category 2), Eye irri...",Butyl Rubber,SDS Source,0.42,46.72,29,200,115.17,117.52,0.98,-,1.4763,-,87,-502,-,C6H13NO,False
1-Methyl-4-Piperidinone,1445-73-4,18.12,8.67,6.69,0,2,Flammable liquids (Category 3),Unknown,SDS Source,0.48,71.67,-,181.5,113.16,123,0.92,-,1.4957,0.85 mmHg at 25 C,58,-502,-,C6H11NO,False
1-Nitrobutane,627-05-4,16.01,10.85,4.55,0,2,Flammable liquids (Category 3),Butyl Rubber,SDS Source,48.8,-,81,152,103.12,105.981,0.973,-,1.4105,-,44,-,25.6,C4H9NO2,False
1-Nitropentane,628-05-7,16.04,9.87,4.25,2,2,"Flammable liquids (Category 4), Skin i...",Unknown,SDS Source,48.5,-,-,172.5,117.15,123.057,0.952,-,1.417,-,61,-,10.4,C5H11NO2,False
1-Nitropropane,108-03-2,16.6,12.3,5.5,1,3,"Flammable liquids (Category 3), Acute ...",Butyl Rubber,SDS Source,0.12,59.54,-108,131.1,89.09,89.2685,0.998,0.844,1.4016,13.64 hPa at 25 C,35,15,100,C3H7NO2,False
1-No-500al,124-19-6,16.05,5.48,3.88,2,2,"Flammable liquids (Category 4), Skin i...",Butyl Rubber,SDS Source,0.24,42.19,-18,191,142.24,172.412,0.825,1.4,1.4273,0.26 mmHg at 25 C,64,0.101,7,C9H18O,True
1-Nonyne,3452-09-3,15.79,2.89,2.42,0,3,"Flammable liquids (Category 3), Skin i...",Unknown,SDS Source,7.84,-,-50,150,124.22,164.095,0.757,-,1.422,21 hPa at 37.7 C,34,-,41.2,C9H16,True
1-Octanal,124-13-0,16.02,6.3,4.4,0,2,"Flammable liquids (Category 3), Skin i...",Nitrile,SDS Source,0.14,20.01,-23,171,128.21,156.354,0.82,1.26,1.4217,1133 hPa at 25 C,52,1,15.6,C8H16O,True
1-Pentadecene,13360-61-7,15.9,1.14,1.75,0,1,None,Unknown,SDS Source,29.45,733.46,-2.8,268.2,210.4,271.484,0.775,-,1.4388,-,110,Not Soluble,0.5,C15H30,True
1-Pentadecyne,765-13-9,15.95,1.75,1.89,0,2,None,Unknown,SDS Source,19.96,3.2,10,268,208.38,262.443,0.794,-,1.444,-,90,Not Soluble,0.4,C15H28,True
1-Penten-3-ol,616-25-1,16.01,5.62,11.76,0,3,Flammable liquids (Category 3),Unknown,SDS Source,1.28,362.42,-,114,86.13,102.658,0.839,-,1.4233,-,25,-,48.7,C5H10O,True
1-Phenyl-1-Propanol,93-54-9,18.01,4.63,10.13,2,2,"Flammable liquids (Category 4), Acute ...",Chloroprene/ Fluori,SDS Source,0.33,60.56,-,219,136.19,137.566,0.99,-,1.5212,-,90,Not Soluble,1.9,C9H12O,True
1-Phenylethanol,98-85-1,18.47,5.02,11.29,2,2,"Flammable liquids (Category 4), Acute ...",Nitrile/ Butyl Rubb,SDS Source,0.12,24.13,20,205,122.16,120.711,1.012,11.2,1.5278,0.13332 hPa at 20 C,86,3717.5,2,C8H10O,True
1-Phenylpyrazole,1126-00-7,19.55,6.52,5,2,1,"Skin irritation (Category 2), Eye irri...",Unknown,SDS Source,2.99,383.29,11,-,144.18,132.275,1.09,-,1.596,-,110,-,-,C9H8N2,False
1-Phenyltetradecane,1459-10-5,16.61,1.11,1.86,0,0,None,Unknown,SDS Source,6.96,253.1,16.5,359,274.48,321.405,0.854,-,1.4818,-,112,Not Soluble,0.1,C20H34,True
1-Tetradecyne,765-10-6,15.92,1.8,1.81,0,0,None,Unknown,SDS Source,7.75,1451.04,0,252,194.36,246.025,0.79,-,1.439,-,105.1,-,0.8,C14H26,True
1-Undecanol,112-42-5,16.08,3.94,9.88,2,1,Eye irritation (Category 2A),Nitrile,SDS Source,0.22,75.98,19,243,172.31,207.853,0.829,17.2,1.43918,0.75 at 20 C,112,Not Soluble,0.4,C11H24O,True
1-Undecene,821-95-4,15.77,1.46,2.03,2,2,"Flammable liquids (Category 4), Acute ...",Nitrile,SDS Source,5.87,469.47,-49.2,192.7,154.29,205.446,0.751,-,1.427,-,63,Not Soluble,9,C11H22,True
"13-Docosenoic Acid, Methyl Ester, (13Z)-",1120-34-9,16.14,1.98,2.6,0,3,Flammable liquids (Category 3),Unknown,SDS Source,15.25,802.86,-1.16,442.9,352.59,405.276,0.87,-,1.4552,-,84.6,-,-,C23H44O2,True
15 Crown 5,33100-27-5,17.5,7.95,7.79,2,1,"Acute toxicity, Oral (Category 4), Eye...",Nitrile/ Butyl Rubb,SDS Source,4.72,-,-20,-,220.26,197.898,1.113,-,1.465,-,113,-502,0.1,C10H20O5,True
"2,2'-Dimorpholinyldiethyl Ether",6425-39-4,17.99,6.38,7.57,0,0,Eye irritation (Category 2A),Unknown,SDS Source,0.2,73.94,-28,309,244.33,230.5,1.06,-,1.4845,-,146,-,-,C12H24N2O3,False
"2,2,4-Trimethylhexane",16747-26-5,14.71,0.1,0.1,0,3,Flammable liquids (Category 2),Unknown,SDS Source,76.69,-,-120,126.5,128.26,179.134,0.716,-,1.4034,-,13,-,127.2,C9H20,True
"2,2,5-Trimethylhexane",3522-94-9,14.65,0.1,0.1,0,3,Flammable liquids (Category 2),Unknown,SDS Source,39.76,-,-105.7,124,128.26,181.107,0.7082,0.71,1.3997,0.59 kPa at 25 C,13,Not Soluble,150.8,C9H20,True
"2,2,6,6-Tetramethylpiperidine",768-66-1,15.93,2.67,2.59,2,3,"Flammable liquids (Category 3), Acute ...",Nitrile/ Butyl Rubb,SDS Source,3.31,65.1,28,156,141.25,168.757,0.837,-,1.4455,14 hPa at 39 C,37,25.9,47.9,C9H19N,False
"2,2-Dimethyl-1,3-Dioxolane-4-Methanol",100-79-8,16.8,7.48,10.95,2,2,"Flammable liquids (Category 4), Eye ir...",Nitrile,SDS Source,0.14,32.36,-,188,132.16,124.327,1.063,-,1.4383,0.36 hPa at 20 C,90,172,-,C6H12O3,True
"2,2-Dimethyl-3-Ethyl-3-Pentanol",66793-96-2,15.42,2.29,8.91,0,2,Flammable liquids (Category 3),Unknown,SDS Source,59,1165.28,-19,174,144.25,169.308,0.852,-,1.44,-,54,-,-,C9H20O,True
"2,2-Dimethylpropanal",630-19-3,14.96,6.74,4.47,0,3,Flammable liquids (Category 2),Nitrile/ Butyl Rubb,SDS Source,5.82,128.37,6,77.5,86.13,108.613,0.793,-,1.3791,173 hPa at 20 deg C,-16,-,659.6,C5H10O,True
"2,2-Dimethylpropanenitrile",630-18-2,14.82,8.94,4.21,4,3,"Flammable liquids (Category 2), Acute ...",Unknown,SDS Source,2.46,307.99,15,105,83.13,110.84,0.75,-,1.378,-,4,-,85.5,C5H9N,False
"2,3,3-Trimethyl-1-Butene",594-56-9,14.46,1.16,1.29,2,3,"Flammable liquids (Category 2), Skin i...",Unknown,SDS Source,24.22,894.48,-109.9,77.9,98.19,139.277,0.705,-,1.403,-,-17,-,848.5,C7H14,True
"2,3,3-Trimethyl-3H-Indole",1640-39-7,17.71,4.83,1.51,2,2,"Flammable liquids (Category 4), Acute ...",Unknown,SDS Source,1.31,113.4,6,-,159.23,160.838,0.99,-,1.549,-,93,-,-,C11H13N,False
"2,3,5-Trimethyl Pyrazine",14667-55-1,17.72,7.09,4.58,2,2,"Flammable liquids (Category 3), Acute ...",Nitrile/ Fluorinate,SDS Source,2.41,52.16,-,171,122.17,124.791,0.979,-,1.4968,1.72 mm Hg at 25 C,54,-502,3.8,C7H10N2,False
"2,3-Dimethyl-1,3-Butadiene",513-81-5,15.05,2.33,2.32,0,3,"Flammable liquids (Category 2), Acute ...",Unknown,SDS Source,3.8,328.85,-76,68,82.14,113.14,0.726,-,1.438,358.6372 hPa at 37.7 C,-1,-,1094.4,C6H10,True
"2,3-Dimethyl-2-Hexanol",19550-03-9,15.76,3.33,7,0,0,Flammable liquids (Category 3),Unknown,SDS Source,32.14,-,-,160,130.23,155.036,0.84,-,1.4335,1.45 mmHg at 25 C,56.6,-,9.7,C8H18O,True
"2,3-Dimethylheptane",3074-71-3,15.19,0.1,0.1,0,2,Flammable liquids (Category 4),Unknown,SDS Source,60.55,-,-116,140.5,128.26,176.667,0.726,-,1.4087,-,91,-,104.4,C9H20,True
"2,3-Dimethylthiophene",632-16-6,18.01,3.03,5.28,2,4,"Flammable liquids (Category 1), Acute ...",Unknown,SDS Source,53.02,-,-49,141.6,112.2,111.965,1.0021,-,1.5194,-,1,-,62.9,C6H8S,False
"2,3-Heptane Dione",96-04-8,16.71,8.87,5.41,0,2,Flammable liquids (Category 3),Unknown,SDS Source,1.22,-,-,149,128.17,139.315,0.92,-,1.415,-,41,Not Soluble,7.2,C7H12O2,True
"2,4,4-Trimethyl-1-Pentanol",16325-63-6,15.4,3.55,8.55,0,2,Flammable liquids (Category 3),Unknown,SDS Source,9.28,-,-,169,130.23,159.205,0.818,-,1.426,-,60,-,4.9,C8H18O,True
"2,4,5-Trimethyl Oxazole",20662-84-4,16.82,6.3,4.74,0,3,Flammable liquids (Category 3),Unknown,SDS Source,4.48,377.84,-,133,111.14,116.989,0.95,-,1.442,10.4 mmHg at 25 C,33,-,14.2,C6H9NO,False
"2,4,5-Trimethyl Thiazole",13623-11-5,17.76,5.2,5.62,2,2,"Flammable liquids (Category 3), Acute ...",Unknown,SDS Source,2.52,263.99,-,162,127.2,123.136,1.033,-,1.5023,-,48,-,4.6,C6H9NS,False
"2,4-Dimethyl-2,4-Pentanediol",24892-49-7,16.41,6.02,11.88,0,2,Flammable liquids (Category 4),Unknown,SDS Source,33.2,2382.72,-,202.2,132.2,143.696,0.92,-,1.4378,0.0724 mmHg at 25 C,85,-,1.4,C7H16O2,True
"2,4-Dimethyl-3-Pentanol",600-36-2,15.47,3.89,7.81,2,3,"Flammable liquids (Category 3), Skin i...",Unknown,SDS Source,0.72,95.25,-70,138.7,116.2,140,0.83,-,1.425,-,37,32.4,18.5,C7H16O,True
"2,4-Dimethylpyridine",108-47-4,17.97,5.48,4.72,4,2,"Flammable liquids (Category 3), Acute ...",Unknown,SDS Source,0.67,-,-64,158.5,107.15,115.588,0.927,-,1.502,3.56 mmHg at 25 C,47,150,23.7,C7H9N,False
"2,4-Dimethylquinoline",1198-37-4,19,4.3,4.61,1,1,"Skin irritation (Category 2), Eye irri...",Unknown,SDS Source,77.6,3420.08,-,265,157.22,149.733,1.05,-,1.607,-,107.6,-,0.5,C11H11N,False
"2,4-Dimethylstyrene",2234-20-0,17.8,2.8,3.32,2,2,"Flammable liquids (Category 3), Skin i...",Unknown,SDS Source,15.59,-,-64,-,132.2,145.916,0.906,-,1.5423,0.554 mmHg at 25 C,60,-,10.4,C10H12,True
"2,4-Dimethylthiophenol",13616-82-5,19.45,3.08,4.54,0,2,"Flammable liquids (Category 3), Skin i...",Unknown,SDS Source,7.92,284.86,-,207,138.23,135.52,1.02,-,1.568,0.315 mmHg at 25 C,58,-,2.6,C8H10S,False
"2,5,8,11-Tetraoxatridecan-13-ol (8Ci)(9Ci)",23783-42-8,16.39,7.06,10.7,0,1,None,Unknown,SDS Source,7.71,342.46,-39,280,208.25,196.462,1.06,11.5,1.4448,< 10 Pa at 20 C,161,-502,-,C9H20O5,True
"2,5-Dimethoxytetrahydrofuran",696-59-3,16.8,7.2,8.2,2,2,"Flammable liquids (Category 3), Acute ...",Nitrile/ Butyl Rubb,SDS Source,0.28,71.25,-45,145.7,132.16,129.569,1.02,5,1.4178,5 hPa at 20 C,38,300,140.9,C6H12O3,True
"2,5-Dimethylpyrazine",123-32-0,18.06,8.11,5.47,1,2,"Flammable liquids (Category 4), Acute ...",Nitrile,SDS Source,1.41,78.93,15,155,108.14,109.232,0.99,-,1.4968,1.5 mmHg at 25 C,64,32,6.8,C6H8N2,False
"2,5-Dimethylpyridine",589-93-5,17.97,5.48,4.72,2,2,"Flammable liquids (Category 3), Acute ...",Unknown,SDS Source,2.44,-,-16,157,107.15,115.713,0.926,-,1.499,3.2 hPa at 20 C,48,-,23.7,C7H9N,False
"2,5-Dimethyltetrahydrofuran",1003-38-9,15.97,3.8,4.15,0,3,Flammable liquids (Category 3),Unknown,SDS Source,9.21,526.62,-,92,100.16,120.24,0.833,-,1.405,-,27,6.7,2512.4,C6H12O,True
"2,5-Dimethylthiophene",638-02-8,18.01,3.03,5.28,0,3,"Flammable liquids (Category 3), Acute ...",Unknown,SDS Source,2.7,440.89,-62.6,134,112.19,114.014,0.984,-,1.5128,1.31 kPa at 25 C,23,0.352,62.9,C6H8S,False
"2,5-Dimethylthiophenol",4001-61-0,19.45,3.08,4.54,0,2,"Flammable liquids (Category 4), Skin i...",Unknown,SDS Source,7.26,-,-,205,138.23,135.52,1.02,-,1.568,0.366 mmHg at 25 C,83,-,2.6,C8H10S,False
"2,5-Hexanediol",2935-44-6,16.6,7.29,16,2,1,"Acute toxicity, Oral (Category 4), Ski...",Unknown,SDS Source,4.21,340.19,43,216,118.18,123.104,0.96,-,1.4474,-,101,-,0.7,C6H14O2,True
"2,6-Diethylaniline",579-66-8,18.06,4.35,7.04,2,0,"Skin irritation (Category 4), Acute to...",Latex/ Chloroprene/,SDS Source,0.27,27.67,3.5,243,149.24,165.822,0.9,-,1.5456,0.02 mmHg at 20 C,123,-,0.7,C10H15N,False
"2,6-Dimethyl-2-Heptanol",13254-34-7,15.7,3.37,6.44,2,2,"Flammable liquids (Category 2), Skin i...",Unknown,SDS Source,0.61,42.64,-10,179,144.26,176.789,0.816,-,1.428,1 mbar at 20C,62.8,Not Soluble,4.4,C9H20O,True
"2,6-Dimethylpyridine",108-48-5,17.97,5.48,4.72,2,3,"Flammable liquids (Category 3), Acute ...",Fluorinated Rubber,SDS Source,0.2,60.89,-6.4,144.1,107.15,115.813,0.9252,-,1.4953,7.53 hPa at 25 C,37,400,23.7,C7H9N,False
2-(1-Ethylpropyl)Pyridine,7399-50-0,17.22,4.24,3.63,2,0,"Acute toxicity, Oral (Category 3), Ski...",Unknown,SDS Source,10.13,-,-,195.4,149.24,165.822,0.9,-,1.4866,-,51.3,-,-,C10H15N,False
2-(Dimethylamino)Pyridine,5683-33-0,18.63,6.06,7.32,2,0,"Flammable liquids (Category 4), Skin i...",Unknown,SDS Source,1.97,259.45,-,191,122.17,124.157,0.984,-,1.559,0.48 hPa at 22 C,47,Not Soluble,-,C7H10N2,False
2-(Trimethylsilyl)-Ethanol,2916-68-9,14.39,4.56,9.34,0,2,"Flammable liquids (Category 3), Skin i...",Unknown,SDS Source,7.83,551.34,-,145,118.25,143.333,0.825,-,1.423,< 5 mmHg at 25 C,50,-502,-,C5H14OSi,False
2-?Butyne,503-17-3,15.1,3.4,7.6,2,4,"Flammable liquids (Category 1), Skin i...",Unknown,SDS Source,7.38,-,-32,24,54.09,78.3913,0.69,-,1.3921,790.6 hPa at 20 C,-25,-,2562.8,C4H6,True
2-Acetyl Pyridine,1122-62-9,19.17,10.12,6.26,2,2,"Flammable liquids (Category 4), Skin i...",Chloroprene/ Fluori,SDS Source,0.32,47.76,-,192,121.14,112.167,1.08,-,1.5209,-,73,18.7,2.8,C7H7NO,False
2-Acetyl-3-Ethyl Pyrazine,32974-92-8,18.34,10.56,5.19,0,2,"Flammable liquids (Category 4), Skin i...",Unknown,SDS Source,13.39,754.78,-,220,150.18,139.702,1.075,-,1.515,-,87,-502,0.4,C8H10N2O,False
